iter	Passed	Remaining
0	1	148
1	2	127
2	3	117
3	4	108
4	5	105
5	6	103
6	7	101
7	8	99
8	9	99
9	10	97
10	12	97
11	13	96
12	14	94
13	15	93
14	16	91
15	17	90
16	18	89
17	19	88
18	20	87
19	21	85
20	22	84
21	23	83
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	32	73
31	33	72
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	49
52	55	49
53	56	47
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	77	27
74	78	26
75	79	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
